NAME,EMAIL,USERTYPE,ROLE,PROJECT_NAME,PROJECTID,PROJECT_START_PERIOD,PROJECT_END_PERIOD,CATEGORY,ALLOCATION_START,ALLOCATION_END,START_PERIOD,END_PERIOD,ACTIVITY,COMMENTS,MON,TUE,WED,THUR,FRI,SAT,SUN,FEEDBACK_START_PERIOD,FEEDBACK_END_PERIOD,Q1,Q2,Q3,Q4,Q5,Q6,FEEDBACK_COMMENTS,TOTAL_WORKED_HOURS
Joseph Peters,abigail38@example.com,user,software engineer,Sheppard and Sons,b5a66681-6e00-4fd7-aa62-aa34b4f16d39,2024-03-02,2024-06-28,Regular,2024-03-20,2024-06-12,2024-04-05,2024-04-14,Testing,"Option choice individual seven. Job media democratic claim sister maybe present. Professional election happen Democrat.
Cover method risk. Half expect wait any father body work.",8.0,3.0,3.0,5.0,0.0,5.0,3.0,2024-03-13,2024-05-05,2,1,4,3,1,5,Visit why hard because believe produce accept former. Gun sure drug remain try beat own. Guy structure goal law full not operation show. Contain lot blue question collection know.,27.0
Joseph Peters,abigail38@example.com,user,software engineer,Sheppard and Sons,b5a66681-6e00-4fd7-aa62-aa34b4f16d39,2024-03-02,2024-06-28,Irregular,2024-03-20,2024-06-12,2024-04-06,2024-04-16,Testing,"Central than cause speech fine. Onto instead thus certainly. Police measure low probably much.
Sister maintain quickly hope either local energy. Ability painting local father. Child into actually.",6.0,0.0,1.0,2.0,3.0,2.0,1.0,2024-03-13,2024-05-05,2,1,4,3,1,5,Visit why hard because believe produce accept former. Gun sure drug remain try beat own. Guy structure goal law full not operation show. Contain lot blue question collection know.,15.0
Joseph Peters,abigail38@example.com,user,software engineer,Sheppard and Sons,b5a66681-6e00-4fd7-aa62-aa34b4f16d39,2024-03-02,2024-06-28,Regular,2024-03-20,2024-06-12,2024-04-07,2024-04-12,Documentation,Congress democratic majority stop. Radio worker especially dark play rise play. Information operation well administration.,8.0,7.0,8.0,1.0,3.0,5.0,3.0,2024-03-13,2024-05-05,2,1,4,3,1,5,Visit why hard because believe produce accept former. Gun sure drug remain try beat own. Guy structure goal law full not operation show. Contain lot blue question collection know.,35.0
Joseph Peters,abigail38@example.com,user,software engineer,Sheppard and Sons,b5a66681-6e00-4fd7-aa62-aa34b4f16d39,2024-03-02,2024-06-28,Regular,2024-03-20,2024-06-12,2024-04-08,2024-04-17,Documentation,"At rule over there money. Approach remain table sing military response.
Above agreement wait special send. Piece else budget think determine national into loss.
Something defense spring become.",4.0,4.0,4.0,3.0,4.0,8.0,8.0,2024-03-13,2024-05-05,2,1,4,3,1,5,Visit why hard because believe produce accept former. Gun sure drug remain try beat own. Guy structure goal law full not operation show. Contain lot blue question collection know.,35.0
Jennifer Welch,aclark@example.org,user,consultant,Mcguire-Hall,24ac78dd-f13b-4b1c-b268-f4005d794c8e,2024-02-10,2024-06-09,Regular,2024-03-18,2024-06-15,2024-04-08,2024-04-13,Meetings,"Issue to professional never within in. Mother defense south beat growth.
Not alone billion education attack tonight. History customer own surface their trade whose pretty. Night born knowledge.",7.0,3.0,1.0,8.0,3.0,1.0,0.0,2024-03-19,2024-04-17,3,5,2,2,2,1,"Similar left must step sound price add. Voice address big brother actually might.
Sometimes long part across set admit. Together onto give from. Decade federal wife west none. Pay professor inside.",23.0
Jennifer Welch,aclark@example.org,user,consultant,Mcguire-Hall,24ac78dd-f13b-4b1c-b268-f4005d794c8e,2024-02-10,2024-06-09,Regular,2024-03-18,2024-06-15,2024-04-09,2024-04-14,Meetings,"Station defense because rock possible guess project herself. Because structure check walk. Sign case ten.
Executive suffer source left. Eye happen we major. Safe like expert family rate.",8.0,6.0,6.0,1.0,5.0,2.0,1.0,2024-03-19,2024-04-17,3,5,2,2,2,1,"Similar left must step sound price add. Voice address big brother actually might.
Sometimes long part across set admit. Together onto give from. Decade federal wife west none. Pay professor inside.",29.0
Jennifer Welch,aclark@example.org,user,consultant,Mcguire-Hall,24ac78dd-f13b-4b1c-b268-f4005d794c8e,2024-02-10,2024-06-09,Irregular,2024-03-18,2024-06-15,2024-04-10,2024-04-16,Coding,"World very prepare expert kitchen final. Situation city moment site hand.
Begin vote today part. Look doctor tough stay thousand show.",1.0,2.0,6.0,0.0,2.0,1.0,2.0,2024-03-19,2024-04-17,3,5,2,2,2,1,"Similar left must step sound price add. Voice address big brother actually might.
Sometimes long part across set admit. Together onto give from. Decade federal wife west none. Pay professor inside.",14.0
Jonathan Moore,adam53@example.com,user,consultant,Boone-Fleming,33319327-00b9-4c28-a071-a4f2f101d38f,2024-02-06,2024-07-25,Irregular,2024-03-30,2024-07-02,2024-04-03,2024-04-16,Coding,"To manage would. Your really wall. Marriage really laugh central cost word.
Treatment lawyer him we. Father southern together. Major career community behavior.",4.0,1.0,0.0,4.0,0.0,6.0,2.0,2024-03-13,2024-04-14,5,1,2,1,2,5,Pm nation choose certain. Republican might quite exactly American. Ability official poor writer. Level subject assume floor.,17.0
Kathryn Fox,adamsclinton@example.com,user,tribe master,"Jackson, Davidson and Foster",b7956926-ff8d-4e48-9c4a-898049985cfa,2024-02-17,2024-06-14,Regular,2024-03-24,2024-07-08,2024-04-04,2024-04-15,Testing,Lay recently forward under finish even. Hard benefit size person. Step feel manager writer from recognize. Though quickly song field window agency.,5.0,5.0,5.0,2.0,2.0,8.0,4.0,2024-04-06,2024-04-22,4,2,4,1,4,2,Culture she power religious couple. Other just exist alone strategy. Apply court marriage upon four.,31.0
Kathryn Fox,adamsclinton@example.com,user,tribe master,"Jackson, Davidson and Foster",b7956926-ff8d-4e48-9c4a-898049985cfa,2024-02-17,2024-06-14,Regular,2024-03-24,2024-07-08,2024-04-06,2024-04-11,Coding,"Should American turn get early happen move wrong. Rich relate increase identify staff sit summer.
Education policy rich respond later. Occur either arrive family wall.",5.0,5.0,6.0,4.0,8.0,6.0,0.0,2024-04-06,2024-04-22,4,2,4,1,4,2,Culture she power religious couple. Other just exist alone strategy. Apply court marriage upon four.,34.0
Kathryn Fox,adamsclinton@example.com,user,tribe master,"Jackson, Davidson and Foster",b7956926-ff8d-4e48-9c4a-898049985cfa,2024-02-17,2024-06-14,Hard Worker,2024-03-24,2024-07-08,2024-04-08,2024-04-12,Coding,"Yourself fine peace identify too many parent rest. Down kid claim many writer than must.
Rate general race operation. Talk might administration sign my. Because site force energy save experience.",3.0,3.0,4.0,7.0,8.0,8.0,8.0,2024-04-06,2024-04-22,4,2,4,1,4,2,Culture she power religious couple. Other just exist alone strategy. Apply court marriage upon four.,41.0
Kathryn Fox,adamsclinton@example.com,user,tribe master,"Jackson, Davidson and Foster",b7956926-ff8d-4e48-9c4a-898049985cfa,2024-02-17,2024-06-14,Regular,2024-03-24,2024-07-08,2024-04-09,2024-04-17,Testing,"Process policy president generation. Bag interest data relate control available.
Important truth teach garden. Spend policy majority.
Will price simply modern.",6.0,4.0,3.0,6.0,6.0,0.0,7.0,2024-04-06,2024-04-22,4,2,4,1,4,2,Culture she power religious couple. Other just exist alone strategy. Apply court marriage upon four.,32.0
Mark Keller,adamsrobert@example.org,user,software engineer,Peterson-Stokes,ae50493e-d563-4269-becd-694b2d613e0e,2024-03-10,2024-06-16,Irregular,2024-03-16,2024-07-01,2024-04-06,2024-04-17,Coding,"Follow culture third week east final. Newspaper cold ability head position nor. Show tree car join.
Car each wrong.",3.0,3.0,4.0,0.0,0.0,3.0,3.0,2024-03-17,2024-05-05,5,3,3,2,2,3,"Wonder still management me. Window music within director enter develop.
Lay find book while fill mother. Development available gas now line point.",16.0
Mark Keller,adamsrobert@example.org,user,software engineer,Peterson-Stokes,ae50493e-d563-4269-becd-694b2d613e0e,2024-03-10,2024-06-16,Regular,2024-03-16,2024-07-01,2024-04-08,2024-04-17,Documentation,"Lose special season budget person draw. Strategy specific huge it. Health guess now hard record.
Successful majority wall officer. Never safe seem spring necessary determine offer how.",6.0,5.0,5.0,6.0,3.0,4.0,4.0,2024-03-17,2024-05-05,5,3,3,2,2,3,"Wonder still management me. Window music within director enter develop.
Lay find book while fill mother. Development available gas now line point.",33.0
Mark Keller,adamsrobert@example.org,user,software engineer,Peterson-Stokes,ae50493e-d563-4269-becd-694b2d613e0e,2024-03-10,2024-06-16,Regular,2024-03-16,2024-07-01,2024-04-09,2024-04-13,Meetings,"Understand current learn mind long particularly use trial. Water whether especially develop. Office line evidence news report number bar.
Once gas pass weight.",7.0,7.0,7.0,2.0,3.0,6.0,7.0,2024-03-17,2024-05-05,5,3,3,2,2,3,"Wonder still management me. Window music within director enter develop.
Lay find book while fill mother. Development available gas now line point.",39.0
